,New_Client_Id_Client,PURCHASE_DATE,sending_date_group,rel_date_group,answer_date
7977,204.0,2020-07-30,2020-08-05,,
7978,204.0,2023-07-20,2023-07-26,,
7979,206.0,2020-06-14,2020-06-15,,
7980,211.0,2020-07-02,2020-07-03,,
7981,215.0,2019-08-14,2019-08-21,,
7982,217.0,2019-04-22,2019-04-24,,
7983,219.0,2022-03-14,2022-03-20,,
7984,219.0,2022-05-11,2022-05-17,,
7985,222.0,2021-02-04,2021-02-09,,
7986,222.0,2021-10-02,2021-10-03,,
7987,230.0,2020-12-22,2020-12-25,,
7988,230.0,2020-12-23,2020-12-25,,
7989,232.0,2021-09-11,2021-09-12,,
7990,233.0,2022-06-28,2022-06-29,,
7991,235.0,2019-10-18,2019-10-19,,
7992,237.0,2018-12-28,2019-01-03,,
7993,240.0,2019-11-30,2019-12-01,,
7994,241.0,2019-01-18,2019-01-19,,
7995,243.0,2020-11-24,2020-12-04,,
7996,244.0,2019-12-08,2019-12-10,,2019-12-14
7997,247.0,2019-03-29,2019-03-30,,
7998,247.0,2020-12-20,2020-12-22,,
7999,248.0,2021-10-24,2021-10-25,,
8000,248.0,2022-06-25,2022-07-01,,
8001,248.0,2023-01-14,2023-01-20,,
8002,248.0,2023-03-16,2023-03-22,,
8003,248.0,2023-06-29,2023-07-05,,
8004,249.0,2019-01-08,2019-01-11,,
8005,250.0,2023-07-15,2023-07-21,,
8006,259.0,2018-10-06,2018-10-07,,
8007,259.0,2019-06-21,2019-06-27,,
8008,269.0,2021-03-03,2021-03-19,,
8009,269.0,2021-04-22,2021-05-02,,
8010,269.0,2023-03-17,2023-03-23,,
8011,270.0,2018-12-19,2019-01-03,,
8012,270.0,2020-11-28,2020-11-30,,
8013,270.0,2021-02-19,2021-02-20,,
8014,270.0,2022-03-19,2022-03-25,,
8015,272.0,2023-04-03,2023-04-09,,
8016,285.0,2020-12-03,2020-12-04,,
8017,286.0,2020-05-18,2020-05-19,,2020-05-20
8018,286.0,2021-02-23,2021-02-24,,2021-02-25
8019,286.0,2021-11-10,2021-11-13,,
8020,286.0,2022-04-28,2022-05-04,,
8021,286.0,2022-07-09,2022-07-15,,
8022,286.0,2023-05-17,2023-05-25,,
8023,286.0,2023-05-19,2023-05-25,,
8024,288.0,2020-08-06,2020-08-07,,
8025,289.0,2018-09-14,2018-09-15,,
8026,289.0,2019-06-21,2019-06-27,,
8027,289.0,2021-10-25,2021-10-26,,
8028,289.0,2022-12-07,2022-12-13,,
8029,292.0,2020-07-17,2020-07-26,,
8030,297.0,2018-09-15,2018-09-16,,2018-09-16
8031,297.0,2019-06-27,2019-07-01,,2019-07-02
8032,298.0,2020-05-16,2020-05-17,,
8033,299.0,2021-05-20,2021-05-21,,
3,300.0,2018-11-21,2018-11-25,2018-11-30,
8034,303.0,2019-04-16,2019-04-18,,
8035,303.0,2022-01-11,2022-01-17,,
8036,304.0,2021-12-09,2021-12-10,,
8037,304.0,2022-10-06,2022-10-12,,
8038,304.0,2023-04-26,2023-05-02,,
8039,305.0,2021-01-25,2021-02-09,,
8040,307.0,2018-12-16,2018-12-18,,
8041,313.0,2022-06-17,2022-06-23,,
8042,317.0,2018-12-15,2018-12-17,,
8043,319.0,2019-09-28,2019-09-29,,2019-10-02
8044,319.0,2020-03-20,2020-03-30,,
8045,319.0,2020-07-18,2020-07-28,,
4,319.0,2021-07-24,2021-08-11,2021-08-16,
8046,319.0,2022-01-10,2022-01-16,,
8047,319.0,2022-03-07,2022-03-13,,
8048,319.0,2022-11-28,2022-12-04,,
8049,319.0,2023-03-02,2023-03-08,,
8050,319.0,2023-07-17,2023-07-23,,
8051,320.0,2022-06-27,2022-07-03,,
8052,321.0,2020-05-22,2020-05-23,,
8053,321.0,2022-04-30,2022-05-06,,
8054,322.0,2019-12-15,2019-12-17,,
8055,323.0,2018-09-27,2018-10-04,,
8056,323.0,2023-06-04,2023-06-10,,
8057,323.0,2023-06-28,2023-07-12,,
8058,329.0,2018-09-09,2018-09-20,,
8059,329.0,2022-10-03,2022-10-09,,
8060,330.0,2019-11-22,2019-12-10,,
8061,330.0,2019-11-27,2019-12-10,,
8062,331.0,2020-09-03,2020-09-04,,
8063,331.0,2021-09-04,2021-09-06,,
8064,331.0,2023-01-11,2023-01-17,,
8065,333.0,2019-02-09,2019-02-11,,
8066,334.0,2020-10-02,2020-10-06,,2020-10-09
8067,335.0,2018-12-31,2019-01-03,,2019-01-03
8068,336.0,2020-06-21,2020-07-01,,
8069,343.0,2022-01-11,2022-01-12,,
8070,343.0,2023-01-28,2023-02-03,,
8071,353.0,2019-03-21,2019-04-03,,
8072,354.0,2020-06-29,2020-06-30,,
8073,356.0,2020-02-15,2020-02-21,,
8074,362.0,2018-12-23,2019-01-03,,2019-01-03
8075,362.0,2019-04-30,2019-05-02,,2019-05-02
8076,362.0,2020-06-06,2020-06-07,,
8077,362.0,2020-07-28,2020-07-29,,
8078,362.0,2021-10-16,2021-10-17,,
8079,363.0,2019-01-09,2019-01-11,,
8080,363.0,2019-01-24,2019-02-12,,
8081,363.0,2019-05-29,2019-05-30,,2019-05-30
8082,363.0,2019-08-04,2019-08-05,,2019-08-06
8083,363.0,2020-01-23,2020-01-24,,
8084,363.0,2023-07-09,2023-07-15,,
8085,364.0,2019-01-30,2019-02-10,,2019-02-16
8086,367.0,2019-07-30,2019-07-31,,2019-08-03
8087,368.0,2018-11-10,2018-11-11,,
8088,368.0,2019-07-20,2019-07-24,,2019-07-24
8089,368.0,2019-08-17,2019-08-27,,2019-08-27
8090,368.0,2019-08-24,2019-08-27,,2019-08-27
8091,368.0,2019-09-29,2019-10-09,,
8092,368.0,2020-01-09,2020-01-16,,
8093,368.0,2020-05-14,2020-05-18,,2020-05-22
8094,368.0,2020-07-16,2020-07-17,,2020-07-20
8095,368.0,2020-10-24,2020-10-25,,
8096,368.0,2020-11-12,2020-11-24,,2020-11-24
8097,368.0,2021-01-29,2021-02-04,,2021-02-04
8098,368.0,2021-03-06,2021-03-08,,2023-02-10
8099,368.0,2022-06-09,2022-06-15,,
8100,368.0,2022-10-15,2022-10-21,,
8101,368.0,2023-02-04,2023-02-10,,
8102,368.0,2023-06-17,2023-06-23,,
8103,368.0,2023-07-22,2023-07-28,,
8104,370.0,2021-01-24,2021-01-25,,
5,371.0,2018-10-27,2018-11-07,2018-11-12,
8105,372.0,2020-12-06,2020-12-07,,
8106,374.0,2021-02-02,2021-02-18,,
8107,376.0,2020-01-17,2020-01-18,,2020-01-19
8108,376.0,2022-03-16,2022-03-22,,
8109,380.0,2020-09-04,2020-09-05,,
8117,381.0,2018-10-28,2018-11-07,,
8110,381.0,2019-04-22,2019-04-23,,
8111,381.0,2019-05-31,2019-06-03,,
8112,381.0,2019-06-22,2019-07-10,,
8113,381.0,2020-10-26,2020-10-27,,
8114,381.0,2021-01-28,2021-02-04,,
8115,381.0,2022-05-09,2022-05-15,,
8116,381.0,2022-11-28,2022-12-04,,
8118,385.0,2020-07-16,2020-07-17,,
8119,388.0,2020-11-13,2020-11-24,,
8120,390.0,2018-12-30,2019-01-04,,
8121,390.0,2019-05-30,2019-05-31,,
8122,390.0,2022-04-16,2022-04-22,,
8123,391.0,2018-10-28,2018-10-30,,
8124,392.0,2018-10-27,2018-10-28,,
8125,392.0,2019-11-29,2019-12-10,,
8126,393.0,2020-01-13,2020-01-18,,
8127,393.0,2020-01-14,2020-01-18,,
8128,393.0,2020-09-26,2020-09-27,,
8129,393.0,2021-08-30,2021-08-31,,
8130,393.0,2022-11-26,2022-12-02,,
8131,394.0,2019-10-17,2019-10-18,,
8132,394.0,2020-07-11,2020-07-12,,
8133,395.0,2020-12-18,2020-12-29,,
8134,396.0,2019-02-09,2019-02-10,,
8135,396.0,2020-05-23,2020-05-24,,
8136,396.0,2020-08-18,2020-08-19,,
8137,396.0,2022-10-26,2022-11-01,,
8138,396.0,2023-05-23,2023-05-29,,
8139,399.0,2019-12-28,2020-01-09,,
8140,401.0,2019-12-26,2020-01-09,,2020-01-13
8141,403.0,2023-02-19,2023-02-25,,
8153,406.0,2018-09-01,2018-09-21,,
6,406.0,2018-09-26,2018-10-23,2018-10-27,
8154,406.0,2018-11-02,2018-11-24,,
8142,406.0,2019-02-15,2019-02-16,,
8143,406.0,2019-05-24,2019-05-25,,
8144,406.0,2019-07-30,2019-07-31,,
8145,406.0,2020-01-14,2020-01-18,,
8146,406.0,2020-08-17,2020-08-18,,
8147,406.0,2020-08-27,2020-09-19,,
8148,406.0,2020-09-10,2020-09-19,,
8149,406.0,2022-08-04,2022-08-10,,
8150,406.0,2022-08-07,2022-08-10,,
8151,406.0,2023-08-05,2023-08-11,,
8152,406.0,2023-08-10,2023-08-11,,
8155,407.0,2019-09-28,2019-09-29,,2019-10-03
8156,408.0,2022-12-29,2023-01-04,,
8157,408.0,2023-08-24,2023-08-30,,
8158,409.0,2023-06-28,2023-07-14,,
8159,410.0,2020-07-24,2020-07-25,,
8160,415.0,2022-05-07,2022-05-13,,
8161,420.0,2018-09-07,2018-09-12,,2018-09-12
8162,422.0,2018-12-15,2018-12-16,,
8163,422.0,2020-09-05,2020-09-06,,
8164,422.0,2020-12-06,2020-12-07,,
8165,422.0,2022-11-02,2022-11-09,,
7,426.0,2020-12-03,2020-12-04,2020-12-07,
8166,426.0,2020-12-09,2020-12-10,,
8167,426.0,2022-01-11,2022-01-17,,
8168,428.0,2019-11-20,2019-11-26,,
8169,429.0,2022-01-11,2022-01-12,,
8170,430.0,2021-12-12,2021-12-13,,
8171,432.0,2020-06-30,2020-07-01,,
8172,436.0,2019-06-26,2019-06-27,,
8173,437.0,2020-07-03,2020-07-04,,
8174,439.0,2023-06-26,2023-07-02,,
8175,442.0,2018-12-20,2019-01-03,,2019-01-03
8176,442.0,2021-09-20,2021-09-30,,
8177,442.0,2021-10-07,2021-10-26,,
8178,442.0,2022-03-30,2022-04-05,,
8179,445.0,2020-01-16,2020-01-26,,2020-01-26
8180,450.0,2020-01-08,2020-01-09,,
8181,451.0,2022-07-02,2022-07-03,,
8182,452.0,2019-08-01,2019-08-02,,2019-08-03
8183,452.0,2021-08-09,2021-08-11,,2021-08-11
8184,452.0,2022-08-03,2022-08-09,,2022-08-09
8185,452.0,2023-08-17,2023-08-23,,
8186,453.0,2023-05-19,2023-05-26,,
8187,458.0,2019-09-27,2019-09-28,,
8188,460.0,2019-01-20,2019-01-23,,
8189,461.0,2021-11-02,2021-11-04,,
8190,467.0,2019-12-29,2020-01-09,,
8191,471.0,2020-07-25,2020-07-26,,
8192,472.0,2018-11-26,2018-12-15,,
8193,473.0,2018-10-14,2018-10-15,,
8194,473.0,2018-11-17,2018-11-20,,
8195,473.0,2018-12-29,2019-01-03,,
8196,473.0,2019-06-24,2019-06-27,,
8197,473.0,2021-11-06,2021-11-08,,2021-11-08
8198,475.0,2020-08-12,2020-08-22,,
8,477.0,2021-04-19,2021-04-29,2021-05-05,
8199,477.0,2023-06-24,2023-06-30,,
8200,478.0,2018-09-22,2018-09-23,,2019-02-04
8201,478.0,2019-02-02,2019-02-03,,
8202,478.0,2019-06-28,2019-07-01,,
9,478.0,2019-10-14,2019-10-17,2019-10-21,
8203,479.0,2020-03-03,2020-03-04,,
8204,481.0,2019-10-01,2019-10-11,,
8205,483.0,2022-11-24,2022-11-30,,
8206,485.0,2019-01-27,2019-02-15,,
8207,486.0,2020-01-11,2020-01-14,,
8208,491.0,2019-11-29,2019-12-10,,
8209,491.0,2020-01-07,2020-01-30,,
8210,495.0,2019-01-24,2019-01-25,,
8211,495.0,2020-02-18,2020-02-20,,
8212,495.0,2022-02-08,2022-02-14,,
8213,495.0,2022-02-11,2022-02-14,,
8214,495.0,2023-01-28,2023-02-03,,
8215,500.0,2019-11-17,2019-11-27,,
8216,509.0,2021-12-22,2021-12-30,,
8217,511.0,2020-07-27,2020-07-28,,2020-07-29
8218,514.0,2019-01-17,2019-01-18,,
8219,517.0,2019-12-15,2019-12-17,,
8220,517.0,2020-05-21,2020-05-22,,
8221,517.0,2020-06-21,2020-06-24,,
8222,518.0,2018-10-22,2018-10-23,,
10,518.0,2018-10-29,2018-11-24,2018-11-30,
8223,518.0,2019-01-10,2019-01-12,,
8224,518.0,2023-01-19,2023-01-25,,
8225,519.0,2019-02-26,2019-02-28,,
8226,519.0,2022-10-08,2022-10-14,,
8227,519.0,2022-11-28,2022-12-04,,
8228,519.0,2023-03-06,2023-03-12,,
8229,530.0,2020-11-30,2020-12-10,,
8230,537.0,2018-11-30,2018-12-11,,
8231,537.0,2019-08-03,2019-08-04,,2019-08-05
8232,537.0,2022-06-18,2022-06-24,,
8233,544.0,2020-07-21,2020-07-23,,
8234,549.0,2020-06-16,2020-06-17,,
8235,550.0,2019-10-03,2019-10-17,,
8236,551.0,2019-04-15,2019-04-26,,
8237,551.0,2019-05-24,2019-05-25,,
11,551.0,2020-08-21,2020-08-22,2020-08-26,
8238,551.0,2022-08-18,2022-08-24,,
8239,552.0,2023-07-03,2023-07-12,,
8240,553.0,2018-12-29,2019-01-15,,2019-01-15
8241,553.0,2019-01-12,2019-01-15,,2019-01-15
8242,554.0,2022-05-26,2022-06-01,,
8243,561.0,2021-12-24,2021-12-30,,
8244,562.0,2019-10-11,2019-10-17,,
8245,567.0,2022-09-29,2022-10-05,,
8246,568.0,2019-07-08,2019-07-19,,
8247,570.0,2019-08-09,2019-08-16,,
8248,572.0,2019-03-30,2019-04-03,,2019-04-23
8249,572.0,2022-07-14,2022-07-20,,
8250,573.0,2020-04-21,2020-05-01,,
12,573.0,2021-05-06,2021-05-16,2021-05-20,
8251,573.0,2021-08-14,2021-08-24,,
8252,573.0,2022-05-16,2022-05-22,,
8253,573.0,2023-04-19,2023-04-25,,
8254,574.0,2018-12-27,2019-01-03,,
8255,574.0,2019-01-02,2019-01-03,,
13,575.0,2019-09-11,2019-09-18,2019-09-23,
8256,575.0,2020-01-28,2020-01-30,,
8257,576.0,2018-12-12,2019-01-05,,
8258,576.0,2020-01-08,2020-01-18,,2020-02-13
8259,580.0,2019-12-26,2019-12-27,,
8260,580.0,2023-07-30,2023-08-05,,
8261,582.0,2019-12-25,2020-01-09,,
8262,584.0,2019-06-29,2019-07-01,,2019-07-17
8263,584.0,2020-09-19,2020-09-20,,2020-09-20
8264,584.0,2021-03-03,2021-03-04,,2021-03-04
8265,584.0,2022-07-09,2022-07-15,,2022-07-16
8266,584.0,2023-01-21,2023-01-27,,
8267,584.0,2023-07-06,2023-07-12,,
8268,590.0,2020-05-09,2020-05-19,,
8269,591.0,2021-01-02,2021-01-04,,
8270,593.0,2021-10-02,2021-10-03,,
8271,593.0,2023-06-09,2023-06-15,,
8272,595.0,2020-09-14,2020-09-24,,
8273,598.0,2019-07-31,2019-08-01,,
8274,599.0,2019-10-05,2019-10-08,,
8275,599.0,2022-01-03,2022-01-09,,
8276,602.0,2019-03-11,2019-03-13,,2019-03-16
8277,603.0,2020-01-10,2020-01-18,,
8278,604.0,2020-12-07,2020-12-08,,
8279,605.0,2018-10-31,2018-11-10,,
8280,607.0,2020-11-20,2020-11-30,,
8281,607.0,2021-09-27,2021-10-01,,
14,611.0,2018-11-25,2018-11-26,2018-11-30,
8282,611.0,2020-07-04,2020-07-05,,
8283,611.0,2020-09-26,2020-09-27,,
8284,616.0,2021-10-13,2021-10-28,,
8285,617.0,2019-02-11,2019-02-21,,
8286,618.0,2019-07-04,2019-07-05,,
8287,624.0,2019-01-19,2019-01-20,,
8288,624.0,2021-11-06,2021-11-08,,
8289,625.0,2018-12-16,2018-12-18,,2018-12-19
8290,627.0,2019-06-26,2019-06-27,,
8291,629.0,2019-12-15,2019-12-17,,
8292,630.0,2018-10-30,2018-11-01,,
8293,633.0,2021-01-27,2021-02-18,,
8294,633.0,2021-02-08,2021-02-18,,
8295,633.0,2023-01-12,2023-01-18,,
8296,637.0,2020-07-04,2020-07-05,,
8297,638.0,2019-02-25,2019-02-27,,
8298,638.0,2020-12-14,2020-12-25,,
8299,638.0,2022-04-19,2022-04-25,,
8300,639.0,2019-10-05,2019-10-08,,
8301,643.0,2020-01-28,2020-01-30,,2020-02-20
8302,643.0,2023-01-26,2023-02-01,,
8303,652.0,2022-03-14,2022-03-20,,
8304,655.0,2020-01-24,2020-01-30,,
8305,657.0,2018-11-26,2018-11-30,,2018-11-30
8306,657.0,2019-05-09,2019-05-22,,
8307,657.0,2022-08-27,2022-09-02,,
8308,657.0,2023-07-31,2023-08-06,,
8309,661.0,2018-09-24,2018-10-21,,
8310,661.0,2018-10-20,2018-10-21,,
8311,661.0,2019-01-11,2019-01-12,,
8312,661.0,2021-09-02,2021-09-04,,
8313,661.0,2023-07-08,2023-07-14,,
8314,664.0,2019-01-12,2019-01-15,,
8315,664.0,2023-03-22,2023-03-28,,
8316,666.0,2018-12-22,2019-01-03,,
8317,666.0,2018-12-28,2019-01-03,,
8318,673.0,2018-11-03,2018-11-04,,
8319,674.0,2018-12-31,2019-01-03,,
8320,674.0,2019-06-29,2019-07-01,,
8321,674.0,2021-01-29,2021-02-04,,2021-02-04
8322,674.0,2022-07-02,2022-07-08,,
8323,674.0,2023-02-26,2023-03-04,,
8324,678.0,2021-02-09,2021-02-10,,
8325,680.0,2019-10-09,2019-10-11,,
8326,684.0,2021-10-20,2021-11-06,,
8327,685.0,2020-12-10,2020-12-11,,
8328,687.0,2020-11-30,2020-12-01,,
8329,687.0,2020-12-23,2021-01-07,,
8330,687.0,2021-08-04,2021-08-16,,
8331,687.0,2021-10-01,2021-10-02,,
15,687.0,2021-12-07,2021-12-08,2021-12-13,
8332,687.0,2022-07-09,2022-07-15,,
8333,687.0,2022-12-08,2022-12-14,,
8334,688.0,2019-04-18,2019-04-20,,
8335,688.0,2020-08-04,2020-08-06,,
8336,689.0,2020-12-18,2020-12-29,,
8337,691.0,2018-11-23,2018-11-24,,2018-11-24
8338,691.0,2018-12-22,2019-01-03,,
8339,691.0,2018-12-31,2019-01-03,,
8340,695.0,2020-01-29,2020-01-30,,
8341,696.0,2020-12-22,2020-12-24,,
8342,697.0,2018-12-20,2019-01-04,,
8343,707.0,2020-08-04,2020-08-06,,
8344,708.0,2018-11-25,2018-11-30,,2018-12-03
8345,710.0,2018-10-27,2018-10-28,,2018-10-28
8346,710.0,2019-05-09,2019-05-22,,
8347,710.0,2020-10-08,2020-10-22,,
8348,710.0,2020-10-12,2020-10-22,,
8349,711.0,2022-06-18,2022-06-19,,
8350,711.0,2023-06-17,2023-06-23,,
